The first block gives for each co-culture type the mean C,R at time 0
the second block is the degradation data of each co-culture at t=110[h]
the format is: polymer_name	strains	C	R
Durvillea	isolate_69	0.27869510816677934	0.09556834327029917
Durvillea	isolate_69	0.21903676135474137	0.07757943129529657
Durvillea	isolate_12|isolate_40|isolate_69|isolate_94	0.13511430834740767	0.29501152089812693
Durvillea	isolate_12|isolate_40|isolate_69|isolate_94	0.11287149767692972	0.3175156555362439
Durvillea	isolate_12|isolate_40|isolate_69|isolate_94	0.22586348075493967	0.30222441912824544
Durvillea	isolate_12|isolate_40|isolate_94	0.21802090122738227	0.17183817792929265
Durvillea	isolate_12|isolate_40|isolate_94	0.15645032115569735	0.18421894340198525
Durvillea	isolate_12|isolate_40|isolate_94	0.2331097106896003	0.1941422323331723
Ecklonia	LCC_4|isolate_25|isolate_56	0.9056651564206123	0.8116748558395646
Ecklonia	LCC_4|isolate_25|isolate_56	0.9083617259542716	0.861464324814074
Ecklonia	LCC_4|isolate_25|isolate_56	0.9070742277002202	0.8507516114295482
Ecklonia	LCC_4|isolate_25|isolate_56|isolate_69	0.9597154256300099	1.2046532055070331
Ecklonia	LCC_4|isolate_25|isolate_56|isolate_69	0.9557790745285054	1.1999683397265544
Ecklonia	LCC_4|isolate_25|isolate_56|isolate_69	0.9571724064656987	1.1991849949288578
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.8871151725939319	1.1285165756939803
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.8904335896095342	1.166828400562942
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.8892264085130759	1.1716728336855984
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.8957272417400236	0.9197540360087116
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.8960971925917964	0.8706005140417126
Ecklonia	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.8971940353545682	0.8798723843116925
Ecklonia	isolate_69	0.48307992175627334	1.0995038762029665
Ecklonia	isolate_69	0.46256273562450434	1.117191932200491
Ecklonia	isolate_69	0.4652255560592343	1.1032405631387976
Ecklonia	isolate_12|isolate_40|isolate_69|isolate_94	0.4698069291568423	1.1000755063111645
Ecklonia	isolate_12|isolate_40|isolate_69|isolate_94	0.46818640998059635	1.091295443839733
Ecklonia	isolate_12|isolate_40|isolate_69|isolate_94	0.4810499601037843	1.1066196306934863
Ecklonia	isolate_12|isolate_40|isolate_94	0.36823685937465334	0.740228401637516
Ecklonia	isolate_12|isolate_40|isolate_94	0.38674876242554634	0.8456964246955821
Ecklonia	isolate_12|isolate_40|isolate_94	0.35824029367923627	0.8324360459901321
Fucus evanesces	LCC_4|isolate_25|isolate_56	2.900477783565364	0.2647728576042492
Fucus evanesces	LCC_4|isolate_25|isolate_56	2.912465994506696	0.2214710518947875
Fucus evanesces	LCC_4|isolate_25|isolate_56	2.8935291140459443	0.19186504941977323
Fucus evanesces	LCC_4|isolate_25|isolate_56|isolate_69	3.1136950888114514	1.0430995282059747
Fucus evanesces	LCC_4|isolate_25|isolate_56|isolate_69	3.115261367367913	1.0348017483909149
Fucus evanesces	LCC_4|isolate_25|isolate_56|isolate_69	3.115738314906811	1.0363747581031792
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.132078772931288	1.1053689549463042
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.133454055068645	1.1150210815823356
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	3.1333526025873963	1.1165000969364025
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.9371363361605094	0.2901679470682571
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.9217066757066514	0.3136151741673587
Fucus evanesces	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	2.9386320539861654	0.3218147912324249
Fucus evanesces	isolate_69	1.034866081061217	1.0863992609516875
Fucus evanesces	isolate_69	1.0969313807711267	1.117698413675779
Fucus evanesces	isolate_69	1.0646572370507266	1.1094791584561015
Fucus evanesces	isolate_12|isolate_40|isolate_69|isolate_94	1.0699002607411137	1.1048598004881145
Fucus evanesces	isolate_12|isolate_40|isolate_69|isolate_94	1.0093753068526738	1.083461191472376
